# Warehouse Inventory Change Log
# warehouse_id	sku	product_name	change	timestamp	notes
WH-EAST	SKU-WM001	Wireless Mouse	+200	2024-01-10 08:00	Initial stock
WH-WEST	SKU-WM001	Wireless Mouse	+150	2024-01-10 08:00	Initial stock
WH-EAST	SKU-UH002	USB-C Hub	+100	2024-01-10 08:00	Initial stock
WH-WEST	SKU-MK003	Mechanical Keyboard	+75	2024-01-10 08:00	Initial stock
WH-EAST	SKU-MS004	Monitor Stand	+50	2024-01-10 08:00	Initial stock
WH-EAST	SKU-WM001		-1	2024-03-15 10:35	Order ORD-001
WH-EAST	SKU-UH002		-1	2024-03-15 10:35	Order ORD-001
WH-WEST	SKU-MK003		-1	2024-03-18 09:00	Order ORD-002
WH-EAST	SKU-MS004	Monitor Stand	-2	2024-03-22 14:00	Order ORD-003
WH-EAST		Laptop Sleeve 15"	-1	2024-03-25 14:30	Order ORD-004
WH-EAST	SKU-WM001		-1	2024-03-25 14:30	Order ORD-004
WH-WEST	SKU-WC006	Webcam HD	+80	2024-01-15 09:00	Initial stock
WH-EAST	SKU-DL007	Desk Lamp LED	+60	2024-01-15 09:00	Initial stock
WH-WEST	SKU-CO008		+300	2024-01-15 09:00	Initial stock
WH-EAST	SKU-SDM009	Standing Desk Mat	+40	2024-01-15 09:00	Initial stock
WH-WEST	SKU-NCH010	Noise Cancelling Headphones	+30	2024-01-15 09:00	Initial stock
WH-WEST	SKU-WC006		-1	2024-04-01 12:00	Order ORD-005
WH-EAST	SKU-DL007		-1	2024-04-05 10:00	Order ORD-006
WH-WEST	SKU-CO008	Cable Organizer	-3	2024-04-05 10:00	Order ORD-006
WH-EAST	SKU-SDM009		-1	2024-04-12 09:20	Order ORD-007
WH-WEST	SKU-NCH010		-1	2024-04-19 11:00	Order ORD-008
WH-WEST	SKU-MK003		-1	2024-04-25 08:00	Order ORD-009
WH-EAST		Wrist Rest	-1	2024-04-25 08:00	Order ORD-009
WH-EAST	SKU-UH002		-2	2024-05-02 14:00	Order ORD-010
WH-EAST	SKU-MA012	Monitor Arm	+35	2024-02-01 08:00	Initial stock
WH-EAST	SKU-MA012		-1	2024-05-10 16:50	Order ORD-011
WH-WEST	SKU-WC006		-1	2024-05-18 09:00	Order ORD-012
WH-WEST	SKU-RL013	Ring Light	+50	2024-02-01 08:00	Initial stock
WH-WEST	SKU-RL013		-1	2024-05-18 09:00	Order ORD-012
WH-EAST	SKU-LSA014	Laptop Stand Adjustable	+45	2024-02-01 08:00	Initial stock
WH-EAST	SKU-LSA014		-1	2024-05-27 10:00	Order ORD-013
WH-WEST	SKU-WCP015	Wireless Charger Pad	+100	2024-02-01 08:00	Initial stock
WH-WEST	SKU-WCP015		-2	2024-06-01 11:35	Order ORD-014
WH-EAST	SKU-DOW016	Desk Organizer Wood	+25	2024-02-15 08:00	Initial stock
WH-EAST	SKU-DOW016		-1	2024-06-08 09:00	Order ORD-015
WH-WEST		Ergonomic Chair Cushion	-1	2024-06-15 10:00	Order ORD-016
WH-WEST	SKU-FR018	Footrest	+30	2024-02-15 08:00	Initial stock
WH-WEST	SKU-FR018		-1	2024-06-15 10:00	Order ORD-016
WH-EAST	SKU-WM001	Wireless Mouse	-2	2024-06-22 08:05	Order ORD-017
WH-WEST	SKU-PSS019	Power Strip Smart	+50	2024-03-01 08:00	Initial stock
WH-WEST	SKU-PSS019		-1	2024-07-06 10:00	Order ORD-018
WH-EAST	SKU-MS004		-1	2024-07-12 09:00	Order ORD-019
WH-EAST	SKU-SCK020	Screen Cleaning Kit	+100	2024-03-01 08:00	Initial stock
WH-EAST	SKU-SCK020		-1	2024-07-12 09:00	Order ORD-019
WH-WEST	SKU-MK003	Mechanical Keyboard	-1	2024-07-19 10:00	Order ORD-020
WH-WEST	SKU-NCH010		-1	2024-07-26 13:25	Order ORD-021
WH-EAST	SKU-HS021	Headphone Stand	+80	2024-03-01 08:00	Initial stock
WH-EAST	SKU-HS021		-1	2024-07-26 13:25	Order ORD-021
WH-WEST	SKU-WC006		-1	2024-08-02 10:00	Order ORD-022
WH-EAST	SKU-UH002		-1	2024-08-14 09:00	Order ORD-023
WH-EAST	SKU-HDMI022	HDMI Cable 6ft	+200	2024-03-01 08:00	Initial stock
WH-EAST	SKU-HDMI022		-2	2024-08-14 09:00	Order ORD-023
WH-EAST	SKU-DL007	Desk Lamp LED	-2	2024-08-16 10:00	Order ORD-024
WH-EAST		Laptop Sleeve 15"	-1	2024-08-23 10:05	Order ORD-025
WH-EAST	SKU-SDM009		-1	2024-08-30 09:00	Order ORD-026
WH-WEST	SKU-CO008		-2	2024-08-30 09:00	Order ORD-026
WH-WEST	SKU-RL013		-1	2024-09-06 10:00	Order ORD-027
WH-WEST	SKU-WCP015		-1	2024-09-13 15:50	Order ORD-028
WH-EAST	SKU-PS023	Phone Stand	+60	2024-03-15 08:00	Initial stock
WH-EAST	SKU-PS023		-1	2024-09-13 15:50	Order ORD-028
WH-EAST	SKU-MA012		-1	2024-09-26 10:00	Order ORD-029
WH-WEST		Ergonomic Chair Cushion	-1	2024-10-03 10:00	Order ORD-030
WH-WEST	SKU-PSS019		-2	2024-10-10 09:00	Order ORD-031
WH-EAST	SKU-DOW016		-1	2024-10-17 09:35	Order ORD-032
WH-EAST	SKU-PH024	Pen Holder	+40	2024-03-15 08:00	Initial stock
WH-EAST	SKU-PH024		-1	2024-10-17 09:35	Order ORD-032
WH-WEST	SKU-NCH010		-1	2024-10-24 10:00	Order ORD-033
WH-WEST	SKU-MK003		-1	2024-11-01 09:00	Order ORD-034
WH-WEST	SKU-KCS025	Keycap Set	+40	2024-04-01 08:00	Initial stock
WH-WEST	SKU-KCS025		-1	2024-11-01 09:00	Order ORD-034
WH-EAST	SKU-WM001		+100	2024-11-05 08:00	Restock
WH-WEST	SKU-MK003		+50	2024-11-05 08:00	Restock
WH-WEST	SKU-NCH010		+20	2024-11-05 08:00	Restock
WH-WEST	SKU-WC006	Webcam HD	-1	2024-11-07 10:00	Order ORD-035
WH-EAST	SKU-UH002		-1	2024-11-14 12:05	Order ORD-036
WH-EAST	SKU-LSA014		-1	2024-11-21 10:00	Order ORD-037
WH-EAST		Laptop Sleeve 15"	-1	2024-11-21 10:00	Order ORD-037
WH-EAST	SKU-SCK020		-3	2024-11-28 10:00	Order ORD-038
WH-EAST	SKU-WM001		-1	2024-12-05 14:20	Order ORD-039
WH-EAST	SKU-MPX026	Mouse Pad XL	+60	2024-04-01 08:00	Initial stock
WH-EAST	SKU-MPX026		-1	2024-12-05 14:20	Order ORD-039
WH-EAST	SKU-HS021		-1	2024-12-15 10:00	Order ORD-040
WH-EAST	SKU-DL007		-1	2024-12-19 10:00	Order ORD-041
WH-EAST	SKU-SDM009		-1	2024-12-26 10:00	Order ORD-042
WH-WEST	SKU-FR018		-1	2025-01-02 10:35	Order ORD-043
WH-WEST		Ergonomic Chair Cushion	-1	2025-01-02 10:35	Order ORD-043
WH-EAST	SKU-HDMI022		-4	2025-01-09 10:00	Order ORD-044
WH-EAST	SKU-MS004		-1	2025-01-16 10:00	Order ORD-045
WH-WEST	SKU-NCH010		-1	2025-01-23 16:05	Order ORD-046
WH-WEST	SKU-REP027	Replacement Ear Pads	+50	2024-04-15 08:00	Initial stock
WH-WEST	SKU-REP027		-1	2025-01-23 16:05	Order ORD-046
WH-WEST	SKU-PSS019		-1	2025-02-03 10:00	Order ORD-047
WH-WEST	SKU-WCP015		-1	2025-02-06 10:00	Order ORD-048
WH-WEST	SKU-CO008	Cable Organizer	-5	2025-02-13 10:00	Order ORD-049
WH-EAST	SKU-WC006	Webcam HD	+50	2025-02-15 08:00	Restock
WH-WEST	SKU-WC006		-1	2025-02-20 11:05	Order ORD-050
WH-WEST	SKU-RL013		-1	2025-02-20 11:05	Order ORD-050
WH-WEST	SKU-MK003		-1	2025-02-27 10:00	Order ORD-051
WH-EAST	SKU-MA012		-1	2025-03-06 10:00	Order ORD-052
WH-EAST	SKU-DOW016		-1	2025-03-13 08:50	Order ORD-053
